Layer,Name,GEOID,Population,Longitude,Latitude,HC_SF_RATE
Community area,Rogers Park,1,52772,-87.670171,42.00963,55.44246692
Community area,Norwood Park,10,41109,-87.803451,41.985248,68.57313816
Community area,Jefferson Park,11,26201,-87.771165,41.978836,68.87192973
Community area,Forest Glen,12,19579,-87.758358,41.993938,66.81337851
Community area,North Park,13,17522,-87.723578,41.983651,68.58466245
Community area,Albany Park,14,48549,-87.721558,41.968078,48.59162434
Community area,Portage Park,15,63038,-87.763401,41.954043,58.31607334
Community area,Irving Park,16,51911,-87.723457,41.953589,58.51525481
Community area,Dunning,17,43120,-87.806015,41.946522,65.73681971
Community area,Montclare,18,14412,-87.798033,41.929306,69.04588975
Community area,Belmont Cragin,19,78151,-87.765502,41.927275,63.39356443
Community area,West Ridge,2,77139,-87.695017,42.001583,64.9893397
Community area,Hermosa,20,24127,-87.734741,41.924353,37.86359235
Community area,Avondale,21,36245,-87.711219,41.938673,58.92395163
Community area,Logan Square,22,71742,-87.699149,41.922768,59.82974535
Community area,Humboldt Park,23,53832,-87.720917,41.90008,44.86481939
Community area,West Town,24,87942,-87.676358,41.901216,53.46091134
Community area,Austin,25,96753,-87.763117,41.894113,51.27543359
Community area,West Garfield Park,26,17423,-87.730233,41.878602,66.54590177
Community area,East Garfield Park,27,19995,-87.705892,41.878923,64.09290041
Community area,Near West Side,28,67817,-87.663513,41.874016,50.8099843
Community area,North Lawndale,29,34817,-87.717218,41.860197,71.32706136
Community area,Uptown,3,52255,-87.655899,41.965822,53.58923698
Community area,South Lawndale,30,71402,-87.714,41.839091,56.54330697
Community area,Lower West Side,31,33716,-87.66757,41.850277,60.79400522
Community area,Loop,32,39135,-87.625194,41.878881,72.98336984
Community area,Near South Side,33,27044,-87.620344,41.857196,59.10407098
Community area,Armour Square,34,13847,-87.633976,41.842083,63.92808915
Community area,Douglas,35,17630,-87.61868,41.835122,66.7666863
Community area,Oakland,36,4280,-87.603217,41.823754,78.5840943
Community area,Fuller Park,37,2549,-87.632427,41.809082,68.06669351
Community area,Grand Boulevard,38,24586,-87.61786,41.812947,49.91930067
Community area,Kenwood,39,14716,-87.596186,41.808918,78.05621876
Community area,Lincoln Square,4,40412,-87.687513,41.975182,62.24376243
Community area,Washington Park,40,12709,-87.617936,41.792356,31.72764762
Community area,Hyde Park,41,23914,-87.592305,41.794088,57.69440445
Community area,Woodlawn,42,24630,-87.594924,41.778877,51.13995541
Community area,South Shore,43,45611,-87.57279,41.761583,63.02693148
Community area,Chatham,44,31804,-87.615965,41.740206,55.89443843
Community area,Avalon Park,45,9359,-87.586347,41.744197,65.01748237
Community area,South Chicago,46,25975,-87.551435,41.741243,45.8031976
Community area,Burnside,47,2514,-87.59647,41.728181,42.77629711
Community area,Calumet Heights,48,13085,-87.57272,41.729673,63.08567423
Community area,Roseland,49,38934,-87.623366,41.706588,60.40549999
Community area,North Center,5,35150,-87.683839,41.947811,58.55660445
Community area,Pullman,50,6866,-87.598252,41.706131,32.7952449
Community area,South Deering,51,14125,-87.570058,41.690639,34.2884623
Community area,East Side,52,21529,-87.534907,41.707306,29.07200804
Community area,West Pullman,53,25788,-87.635745,41.67382,58.17419245
Community area,Riverdale,54,7229,-87.602849,41.660137,68.83104601
Community area,Hegewisch,55,9884,-87.556803,41.668188,65.47104171
Community area,Garfield Ridge,56,35352,-87.764246,41.796185,60.30076204
Community area,Archer Heights,57,14282,-87.726365,41.810873,51.53784044
Community area,Brighton Park,58,45141,-87.698859,41.817364,57.61428204
Community area,McKinley Park,59,15927,-87.6725,41.829927,38.27403396
Community area,Lake View,6,91836,-87.656001,41.944236,64.4452569
Community area,Bridgeport,60,33593,-87.648784,41.836151,34.62660799
Community area,New City,61,43510,-87.659171,41.809017,47.53548636
Community area,West Elsdon,62,18249,-87.724213,41.792977,56.80748412
Community area,Gage Park,63,39439,-87.696433,41.795429,71.21183367
Community area,Clearing,64,24519,-87.768517,41.779582,53.03943311
Community area,West Lawn,65,33543,-87.726927,41.769774,49.57975893
Community area,Chicago Lawn,66,55789,-87.695667,41.771849,45.14153843
Community area,West Englewood,67,29899,-87.666598,41.775926,63.37948739
Community area,Englewood,68,24322,-87.642502,41.777201,48.91983799
Community area,Greater Grand Crossing,69,31543,-87.616139,41.763251,54.30021041
Community area,Lincoln Park,7,63433,-87.649491,41.922696,66.72111008
Community area,Ashburn,70,41280,-87.708363,41.745756,54.28459534
Community area,Auburn Gresham,71,44959,-87.656305,41.744203,59.7952164
Community area,Beverly,72,19950,-87.675072,41.713148,69.86178837
Community area,Washington Heights,73,25075,-87.648897,41.717495,72.76702634
Community area,Mount Greenwood,74,18633,-87.713189,41.694876,61.07561037
Community area,Morgan Park,75,21714,-87.669062,41.689729,71.49531552
Community area,O'Hare,76,14416,-87.893699,41.975696,56.64422985
Community area,Edgewater,77,47343,-87.663419,41.986719,60.89750562
Community area,Near North Side,8,95467,-87.633318,41.899611,60.56372686
Community area,Edison Park,9,11521,-87.81378,42.007627,71.53446623
