Layer,Name,GEOID,Population,Longitude,Latitude,VRIMR_2013-2017,INC_2013-2017
,,,,,,"Infant mortality rate (per 1,000 live births), 2013-2017","Median household income, 2013-2017"
Community area,Rogers Park,1,52772,-87.67017100,42.00963000,2.7,45277.5844508391
Community area,Norwood Park,10,41109,-87.80345100,41.98524800,5.7,83177.259939868
Community area,Jefferson Park,11,26201,-87.77116500,41.97883600,5.1,81173.5923904276
Community area,Forest Glen,12,19579,-87.75835800,41.99393800,2.9,126054.147030065
Community area,North Park,13,17522,-87.72357800,41.98365100,6.4,66811.0368047531
Community area,Albany Park,14,48549,-87.72155800,41.96807800,7.1,67455.4123323556
Community area,Portage Park,15,63038,-87.76340100,41.95404300,2.8,69519.4248648783
Community area,Irving Park,16,51911,-87.72345700,41.95358900,5.3,72736.4644374135
Community area,Dunning,17,43120,-87.80601500,41.94652200,3.9,71569.6588664199
Community area,Montclare,18,14412,-87.79803300,41.92930600,6.9,54712.1570985747
Community area,Belmont Cragin,19,78151,-87.76550200,41.92727500,5.7,53150.0412010184
Community area,West Ridge,2,77139,-87.69501700,42.00158300,7.1,62102.6077407864
Community area,Hermosa,20,24127,-87.73474100,41.92435300,3.1,43832.2490437202
Community area,Avondale,21,36245,-87.71121900,41.93867300,5.4,59155.1361816076
Community area,Logan Square,22,71742,-87.69914900,41.92276800,5.4,85221.248698448
Community area,Humboldt Park,23,53832,-87.72091700,41.90008000,10.0,39101.0873344942
Community area,West Town,24,87942,-87.67635800,41.90121600,4.2,100633.57655101
Community area,Austin,25,96753,-87.76311700,41.89411300,11.0,40250.4518789423
Community area,West Garfield Park,26,17423,-87.73023300,41.87860200,8.7,26819.5566538743
Community area,East Garfield Park,27,19995,-87.70589200,41.87892300,13.3,26551.8623279982
Community area,Near West Side,28,67817,-87.66351300,41.87401600,7.1,77047.6084426767
Community area,North Lawndale,29,34817,-87.71721800,41.86019700,12.0,31602.7825256698
Community area,Uptown,3,52255,-87.65589900,41.96582200,3.5,61119.468930604
Community area,South Lawndale,30,71402,-87.71400000,41.83909100,5.1,37658.2864488775
Community area,Lower West Side,31,33716,-87.66757000,41.85027700,4.6,49889.3526378608
Community area,Loop,32,39135,-87.62519400,41.87888100,2.5,122851.29843163
Community area,Near South Side,33,27044,-87.62034400,41.85719600,7.1,96199.6795190978
Community area,Armour Square,34,13847,-87.63397600,41.84208300,5.9,28488.2829156234
Community area,Douglas,35,17630,-87.61868000,41.83512200,5.1,42743.276027718
Community area,Oakland,36,4280,-87.60321700,41.82375400,12.1,33264.2040223352
