Layer,Name,GEOID,Population,Longitude,Latitude,alzheimers,female_breast_cancer,cancer,coronary_heart_disease,diabetes,diet_related,heart_disease,lung_and_bronchus_cancer,stroke,tobacco_related,years_lost
Community area,Rogers Park,1,52772,-87.670171,42.00963,25.2,17.9,186.2,161.1,29.3,379.9,268.6,45.7,46.8,332.6,4507
Community area,Norwood Park,10,41109,-87.803451,41.985248,36,23.4,169,120.9,18.1,315.2,213.7,39.5,42.6,244.3,5613
Community area,Jefferson Park,11,26201,-87.771165,41.978836,15.1,22.2,169.1,105.8,11,284.3,195.5,39,39.6,215.1,7039
Community area,Forest Glen,12,19579,-87.758358,41.993938,22.1,23.4,142.8,78.3,5.6,232.9,151.6,28.4,39.8,171.8,4023
Community area,North Park,13,17522,-87.723578,41.983651,16.3,20.4,133.3,75,27.4,258.1,145,24,47.1,203,4702
Community area,Albany Park,14,48549,-87.721558,41.968078,21.6,23.4,152.3,90.2,23.5,300.3,167.6,29.3,66.1,229.1,5544
Community area,Portage Park,15,63038,-87.763401,41.954043,22.7,17,161,113.9,24.2,287.3,193.5,39.2,29.9,226.5,6320
Community area,Irving Park,16,51911,-87.723457,41.953589,31.2,18.8,155.5,88.8,25,276,171.9,40.8,50.6,231.9,5762
Community area,Dunning,17,43120,-87.806015,41.946522,29.2,22.4,176.8,127.6,16.2,320.4,220.9,34.9,35,247.9,6437
Community area,Montclare,18,14412,-87.798033,41.929306,37.4,30.3,191.3,175.4,20.9,411.6,277.4,38.1,29.6,264.4,7287
Community area,Belmont Cragin,19,78151,-87.765502,41.927275,18.5,15.3,152.2,120.6,27.5,276.9,201.3,29,33.8,200.1,6015
Community area,West Ridge,2,77139,-87.695017,42.001583,21.2,19.8,158.4,104.7,29.7,285.1,185.6,36.3,43.1,241.4,3924
Community area,Hermosa,20,24127,-87.734741,41.924353,12.9,17.1,150.5,84.7,18.8,256.7,173,36.4,45.4,204.8,4586
Community area,Avondale,21,36245,-87.711219,41.938673,24,15.7,130.2,87.5,20.5,245,159.6,26.5,31.3,189,5588
Community area,Logan Square,22,71742,-87.699149,41.922768,22.2,20.3,126.6,85.1,27.5,244,148.1,26.7,35,190,4571
Community area,Humboldt Park,23,53832,-87.720917,41.90008,16.6,29.4,173,116,32.4,341.8,226.7,35,46.2,248.9,9450
Community area,West Town,24,87942,-87.676358,41.901216,34.8,14.8,149.7,103.9,19.2,282.1,184,26.8,31.3,207.7,4748
Community area,Austin,25,96753,-87.763117,41.894113,26.2,32.4,230.9,115.3,38.4,398.8,250.9,56.7,64.4,324.4,14123
Community area,West Garfield Park,26,17423,-87.730233,41.878602,22.5,55,263.4,107.5,36,443.5,289,69.5,62.4,384,16386
Community area,East Garfield Park,27,19995,-87.705892,41.878923,24.2,54.5,252.9,109.4,43.3,463.6,300.6,67.5,69.9,382.6,15920
Community area,Near West Side,28,67817,-87.663513,41.874016,11.2,29.8,190.6,104.8,35.3,366.1,236,42.4,46.3,288.3,6468
Community area,North Lawndale,29,34817,-87.717218,41.860197,21.3,34.9,244.2,98.6,34.8,435.7,267,52.2,70,336.6,16013
Community area,Uptown,3,52255,-87.655899,41.965822,24.1,21.4,173.9,139.6,31.7,374.9,271.1,33.3,56.6,291.2,4733
Community area,South Lawndale,30,71402,-87.714,41.839091,18.7,14.4,146.8,64.2,31.1,250.6,130.9,22.3,44.3,211.5,4831
Community area,Lower West Side,31,33716,-87.66757,41.850277,7.2,9.7,128.8,84.9,22.8,266.1,171.5,20.2,48.9,196.4,4880
Community area,Loop,32,39135,-87.625194,41.878881,7,23.4,138.7,53,9.9,171.8,124.6,18.4,16.6,152.2,3517
Community area,Near South Side,33,27044,-87.620344,41.857196,10.3,18.3,162.8,75.5,24.9,282.7,163,34.1,49.3,240.3,5652
Community area,Armour Square,34,13847,-87.633976,41.842083,19.4,9.3,156.5,75.3,13.3,257.2,157.5,49.8,60.2,236.4,4989
Community area,Douglas,35,17630,-87.61868,41.835122,24.1,30.2,245.8,108.4,35.4,421.2,263.5,64,61.2,349.7,11277
Community area,Oakland,36,4280,-87.603217,41.823754,9.8,64.2,298.9,120.1,68.9,551.4,362.3,85.7,88.9,511.6,12293
Community area,Fuller Park,37,2549,-87.632427,41.809082,19.9,45.2,288.8,91.9,20,438.1,333.9,104.9,45.6,483.2,17890
